algorithm,round,mean_changed_bits,std_changed_bits,avalanche_percent,ideal_avalanche_percent,deviation_from_50_percent,samples
Xoodoo,11,193.28,9.513499180988385,50.333333333333336,50.0,0.3333333333333357,100
Xoodoo,12,190.73,8.947495558404976,49.669270833333336,50.0,0.3307291666666643,100
Ascon-p[320],1,9.27,2.5970262714392116,2.896875,50.0,47.103125,100
Ascon-p[320],2,55.57,11.694991589686085,17.365625,50.0,32.634375,100
Ascon-p[320],3,143.59,12.25906796925229,44.871875,50.0,5.128124999999997,100
Ascon-p[320],4,159.74,9.51513414397179,49.91875,50.0,0.08124999999999716,100
Ascon-p[320],5,159.51,7.8386442344542875,49.846875,50.0,0.15312500000000284,100
Ascon-p[320],6,159.76,9.396023229284426,49.925,50.0,0.07500000000000284,100
Ascon-p[320],7,159.55,9.874336699370001,49.85937500000001,50.0,0.1406249999999929,100
Ascon-p[320],8,161.81,9.049465635208982,50.565625,50.0,0.5656249999999972,100
Ascon-p[320],9,159.81,9.675226095549396,49.940625,50.0,0.05937500000000284,100
Ascon-p[320],10,160.01,9.76852810888833,50.003125,50.0,0.003124999999997158,100
Ascon-p[320],11,160.04,9.212332533461366,50.0125,50.0,0.012500000000002842,100
Ascon-p[320],12,160.26,8.600704692763331,50.08125,50.0,0.08124999999999716,100
Gimli,1,2.88,0.6857864319910612,0.75,50.0,49.25,100
Gimli,2,8.42,2.4992119970223823,2.1927083333333335,50.0,47.807291666666664,100
Gimli,3,22.93,6.644288197885884,5.971354166666667,50.0,44.028645833333336,100
Gimli,4,58.3,15.926916420533722,15.182291666666666,50.0,34.817708333333336,100
Gimli,5,106.5,26.248809496813376,27.734375,50.0,22.265625,100
Gimli,6,165.49,17.517376654296292,43.096354166666664,50.0,6.903645833333336,100
Gimli,7,190.13,10.842914178337292,49.513020833333336,50.0,0.4869791666666643,100
Gimli,8,193.02,9.417349130539053,50.265625,50.0,0.265625,100
Gimli,9,192.78,8.914385151330551,50.203125,50.0,0.203125,100
Gimli,10,191.42,8.763076808491133,49.848958333333336,50.0,0.1510416666666643,100
Gimli,11,190.72,9.181756175408191,49.666666666666664,50.0,0.3333333333333357,100
Gimli,12,193.1,9.739537250741735,50.286458333333336,50.0,0.2864583333333357,100
Gimli,13,193.36,10.452895785524234,50.354166666666664,50.0,0.3541666666666643,100
Gimli,14,191.88,9.438027528904737,49.96875,50.0,0.03125,100
Gimli,15,188.9,11.214618886421276,49.192708333333336,50.0,0.8072916666666643,100
Gimli,16,191.77,9.376367240368875,49.940104166666664,50.0,0.0598958333333357,100
Gimli,17,192.41,10.591682461900817,50.106770833333336,50.0,0.1067708333333357,100
Gimli,18,191.17,10.190166581047384,49.783854166666664,50.0,0.2161458333333357,100
Gimli,19,191.4,9.024097929119755,49.84375,50.0,0.15625,100
Gimli,20,191.69,8.658148494541738,49.919270833333336,50.0,0.0807291666666643,100
Gimli,21,192.44,9.825055581100656,50.114583333333336,50.0,0.1145833333333357,100
Gimli,22,191.08,9.435244479282895,49.760416666666664,50.0,0.2395833333333357,100
Gimli,23,192.21,10.491261394921281,50.0546875,50.0,0.0546875,100
Gimli,24,192.37,9.582870871581967,50.096354166666664,50.0,0.0963541666666643,100
ChaCha,2,183.04,36.480773959537494,35.75,50.0,14.25,100
ChaCha,4,255.31,11.967713299380197,49.865234375,50.0,0.134765625,100
ChaCha,6,255.66,11.704458271716101,49.93359375,50.0,0.06640625,100
